Bahia - Mapa de Pobreza e Desigualdade - Municípios Brasileiros: Incidência da Pobreza

Cidade;%
Serra Preta;36,98
Serrinha;34,72
Serrolândia;35,22
Simões Filho;54,40
Sítio do Mato;42,93
Sítio do Quinto;43,31
Sobradinho;51,20
Souto Soares;33,41
Tabocas do Brejo Velho;34,57
Tanhaçu;41,79
Tanque Novo;45,95
Tanquinho;37,54
Taperoá;51,09
Tapiramutá;46,35
Teixeira de Freitas;53,01
Teodoro Sampaio;48,07
Teofilândia;40,61
Teolândia;58,23
Terra Nova;58,84
Tremedal;30,44
Tucano;48,33
Uauá;44,98
Ubaíra;37,86
Ubaitaba;55,89
Ubatã;57,43
Uibaí;39,54
Umburanas;54,10
Una;62,29
Urandi;46,11
Uruçuca;59,76
Utinga;53,65
Valença;47,70
Valente;31,87
Várzea da Roça;42,87
Várzea do Poço;47,08
Várzea Nova;40,00
Varzedo;35,63
Vera Cruz;64,89
Vereda;45,26
Vitória da Conquista;39,06
Wagner;45,70
Wanderley;57,63
Wenceslau Guimarães;49,63
Xique-Xique;57,35


Fonte: IBGE, Censo Demográfico 2000 e Pesquisa de Orçamentos Familiares - POF  2002/2003.<br /> NOTA: A estimativa do consumo para a geração destes indicadores foi obtida utilizando o método da estimativa de pequenas áreas dos autores Elbers, Lanjouw e Lanjouw (2002).
